"reference_id","tag","data"
"1a1d6a1f-3b26-4284-81f0-3fef977fb644","FLIPKART_REVIEW_MODERATION","{""review_body"": ""The shape of the shoes changed over just 3 Months period. Not recommended."", ""review_title"": ""Absolute rubbish!"", ""website_path"": ""shoe"", ""product_title"": ""Skechers Go Run 4 Running Shoes""}"
"e5c8475d-3416-46c8-bc53-b7dfc36686ce","FLIPKART_REVIEW_MODERATION","{""review_body"": ""its mother board gone within 6 months,i have it well plugged but i dont know what happen,try to solve immeditely,it is under maintanance right now"", ""review_title"": ""COMPLAINT"", ""website_path"": ""washing_machine_new"", ""product_title"": ""Kelvinator 6 kg Fully Automatic Top Load Washing Machine""}"
"e896a64c-a66d-4e0b-bf80-3c3ba8376d7d","FLIPKART_REVIEW_MODERATION","{""review_body"": ""Masahalla shirt and vvvvvvery best product by flipkart i love it the shirt"", ""review_title"": ""Wonderful"", ""website_path"": ""shirt"", ""product_title"": ""Atorse Men's Printed Casual White Shirt""}"
"95d5c811-ae04-48fb-916f-025fc8b8b362","FLIPKART_REVIEW_MODERATION","{""review_body"": ""Loved it"", ""review_title"": ""Highly recommended"", ""website_path"": ""shoe"", ""product_title"": ""Carlton London Miss CL Bellies""}"
"6750ee63-be12-4eea-926c-7c87fe3f7fc7","FLIPKART_REVIEW_MODERATION","{""review_body"": ""5"", ""review_title"": ""Really Nice"", ""website_path"": ""mobile"", ""product_title"": ""Redmi 2 (White, 8 GB)""}"
"c837cac3-2710-47b8-985d-e78a94dce0cd","FLIPKART_REVIEW_MODERATION","{""review_body"": ""The worst product ever ordered from flipkart\nWithin 2 weeks the mobile main camera is not working"", ""review_title"": ""Worst experience ever!"", ""website_path"": ""mobile"", ""product_title"": ""Lenovo Vibe K5 Plus 3 GB (Gold, 16 GB)""}"
"7cede630-ddef-42a3-9e29-6aba9ea54bbf","FLIPKART_REVIEW_MODERATION","{""review_body"": ""Good"", ""review_title"": ""Best in the market!"", ""website_path"": ""pendrive"", ""product_title"": ""SanDisk SDDD2-032G-G46 / SDDD2-032G-I35 / SDDD2-032G-GAM46 32 GB OTG Drive""}"
"c40cf2ea-99de-4557-a983-c3cba34f4762","FLIPKART_REVIEW_MODERATION","{""review_body"": ""Fast&Furious Service"", ""review_title"": ""Awesome"", ""website_path"": ""mobile"", ""product_title"": ""Redmi Note 3 (Silver, 32 GB)""}"
"3c318c72-7513-41b7-ae2e-c50a3a060af3","FLIPKART_REVIEW_MODERATION","{""review_body"": ""For demo and installation the Flipkart people didn't showed up even after 10 days of delivery,worst service by flipkart"", ""review_title"": ""Fair"", ""website_path"": ""washing_machine_new"", ""product_title"": ""IFB 6 kg Fully Automatic Front Load Washing Machine""}"
"12002065-4561-4b90-b6fd-dd9049686bbe","FLIPKART_REVIEW_MODERATION","{""review_body"": ""perfect money worth with this plazzo"", ""review_title"": ""thnaks"", ""website_path"": ""trouser"", ""product_title"": ""KANNAN Regular Fit Women's Brown Trousers""}"
"5e360a62-0cf5-404d-bdd0-b7e1322765af","FLIPKART_REVIEW_MODERATION","{""review_body"": ""Mobile is received on time, but headset is missed out in the BOX."", ""review_title"": ""Headset missed in box"", ""website_path"": ""mobile"", ""product_title"": ""Lenovo Vibe K5 Plus 3 GB (Gold, 16 GB)""}"
"fbaa63f2-6858-4d7b-b217-705d38c962b9","FLIPKART_REVIEW_MODERATION","{""review_body"": ""hello kannan m following your prints in plazzo. really you are doing great job."", ""review_title"": ""different"", ""website_path"": ""trouser"", ""product_title"": ""KANNAN Regular Fit Women's Red Trousers""}"
"02e36e93-e52c-410d-bfbe-c884cfa2e4f6","FLIPKART_REVIEW_MODERATION","{""review_body"": ""in the product description they said 90% assembled. but horn also comes in two parts, 2 screws are missing. But after assembling Cycle was so cute. \nMy 3 years old son likes too much."", ""review_title"": ""Wonderful"", ""website_path"": ""cycle"", ""product_title"": ""Gang Hupmty 14 Hybrid Cycle""}"
"567fc516-4e2e-4898-8fa1-877acc105d66","FLIPKART_REVIEW_MODERATION","{""review_body"": ""Good product.like it"", ""review_title"": ""Really Nice"", ""website_path"": ""fabric"", ""product_title"": ""Selection Indigo Cotton Linen Blend Self Design Shirt & Trouser Fabric""}"
"348f1439-b250-442e-bf1d-013e5cbc4c5f","FLIPKART_REVIEW_MODERATION","{""review_body"": ""Superb Quality!!! Ultra clear sound, bass and level....confort in ears....soft coshion and many more....First time, I thought and felt sad that it will not have microphone, but when I tried a call and some other, it has a hidden microphone system!!! How cool!!! No need of only speak infront of that old type microphone!!!!?? If you spoke,Another person will clearly get your voice.....BEST BEST AND ONLY BEST..."", ""review_title"": ""Mind-blowing purchase"", ""website_path"": ""headphone"", ""product_title"": ""Sony MDR-XB450 On-the-ear Headphone""}"
"5e244ae4-b4f9-452a-830d-311fd0dcb705","FLIPKART_REVIEW_MODERATION","{""review_body"": ""Very good products"", ""review_title"": ""Perfect product!"", ""website_path"": ""sandwich_maker"", ""product_title"": ""Kenstar KTG02KGP-DBH Grill""}"
"9bb26e19-6126-4a95-bb19-c8f5827f30ad","FLIPKART_REVIEW_MODERATION","{""review_body"": ""Good"", ""review_title"": ""Awesome"", ""website_path"": ""pendrive"", ""product_title"": ""Sandisk Cruzer Blade 16 GB Utility Pendrive""}"
"1c1fe1d7-135b-42f4-a1b9-93bf7ce59024","FLIPKART_REVIEW_MODERATION","{""review_body"": ""Nice piece of headphone with great sound .go for it"", ""review_title"": ""Brilliant"", ""website_path"": ""headphone"", ""product_title"": ""JBL T26C Wired Headphones""}"
"9c4f3e3d-71db-437b-a47b-bb292f1869ff","FLIPKART_REVIEW_MODERATION","{""review_body"": ""After 10 days using was not working"", ""review_title"": ""Not good"", ""website_path"": ""digital_thermometer"", ""product_title"": ""Dr. Morepen MT 220 Thermometer""}"
"d5a62490-5b1a-4e14-94d5-d91c463714a2","FLIPKART_REVIEW_MODERATION","{""review_body"": ""Super"", ""review_title"": ""Pretty good"", ""website_path"": ""sock"", ""product_title"": ""Adidas Men's Ankle Length Socks""}"
"10c367a1-a0f1-462b-8a36-59d91db7c85c","FLIPKART_REVIEW_MODERATION","{""review_body"": ""Excellent"", ""review_title"": ""Best in the market!"", ""website_path"": ""pendrive"", ""product_title"": ""SanDisk SDDD2-032G-G46 / SDDD2-032G-I35 / SDDD2-032G-GAM46 32 GB OTG Drive""}"
"8c9f69b0-cc85-4ce3-8af9-f148284e58b6","FLIPKART_REVIEW_MODERATION","{""review_body"": ""Amazing product for this price. Does its job ver well."", ""review_title"": ""Excellent"", ""website_path"": ""blower"", ""product_title"": ""Cheston CHB-20 Forward Curved Air Blower""}"
"74543732-6bf6-4913-8847-672959d9adad","FLIPKART_REVIEW_MODERATION","{""review_body"": ""My Sister Like This. Thanks Flipkart and Sunidhi Creation"", ""review_title"": ""Nice Product"", ""website_path"": ""sari"", ""product_title"": ""Nidhi Fashion Embriodered Bollywood Georgette, Brasso Sari""}"
"13b91a1b-a11a-40ad-9f20-f79a8333bb87","FLIPKART_REVIEW_MODERATION","{""review_body"": ""I got a defected product"", ""review_title"": ""Horrible"", ""website_path"": ""exercise_bike"", ""product_title"": ""Instafit Mini Pedal Upright Stationary Exercise Bike""}"
