id,url
myntra_top_pose_59,http://assets.myntassets.com/assets/images/1129147/2016/4/20/11461131086883-Anouk-Women-Kurtas-5151461131086212-3.jpg
myntra_top_pose_60,http://assets.myntassets.com/assets/images/1129147/2016/4/20/11461131087047-Anouk-Women-Kurtas-5151461131086212-2.jpg
myntra_top_pose_61,http://assets.myntassets.com/assets/images/1129147/2016/4/20/11461131086626-Anouk-Women-Kurtas-5151461131086212-5.jpg
myntra_top_pose_62,http://assets.myntassets.com/assets/images/1140195/2016/4/22/11461319064391-Roadster-Grey-Printed-Top-5561461319063844-1.jpg
myntra_top_pose_63,http://assets.myntassets.com/assets/images/1140195/2016/4/22/11461319064114-Roadster-Grey-Printed-Top-5561461319063844-4.jpg
myntra_top_pose_64,http://assets.myntassets.com/assets/images/1140195/2016/4/22/11461319064208-Roadster-Grey-Printed-Top-5561461319063844-3.jpg
myntra_top_pose_65,http://assets.myntassets.com/assets/images/1140195/2016/4/22/11461319064300-Roadster-Grey-Printed-Top-5561461319063844-2.jpg
myntra_top_pose_66,http://assets.myntassets.com/assets/images/1140195/2016/4/22/11461319064027-Roadster-Grey-Printed-Top-5561461319063844-5.jpg
myntra_top_pose_67,http://assets.myntassets.com/assets/images/1140195/2016/4/22/11461319071069-Roadster-Grey-Printed-Top-2981461319071041-0.jpg
myntra_top_pose_68,http://assets.myntassets.com/assets/images/1140196/2016/4/22/11461319088345-Roadster-Blue-Printed-Top-261461319087778-1.jpg
myntra_top_pose_69,http://assets.myntassets.com/assets/images/1140196/2016/4/22/11461319088030-Roadster-Blue-Printed-Top-261461319087778-4.jpg
myntra_top_pose_70,http://assets.myntassets.com/assets/images/1140196/2016/4/22/11461319088152-Roadster-Blue-Printed-Top-261461319087778-3.jpg
myntra_top_pose_71,http://assets.myntassets.com/assets/images/1140196/2016/4/22/11461319088255-Roadster-Blue-Printed-Top-261461319087778-2.jpg
myntra_top_pose_72,http://assets.myntassets.com/assets/images/1140196/2016/4/22/11461319087915-Roadster-Blue-Printed-Top-261461319087778-5.jpg
myntra_top_pose_73,http://assets.myntassets.com/assets/images/1140196/2016/4/22/11461319095124-Roadster-Blue-Printed-Top-131461319095105-0.jpg
myntra_top_pose_74,http://assets.myntassets.com/assets/images/1142346/2016/4/23/11461387372379-YK-Girls-Teal-Blue-Printed-Top-2981461387372135-1.jpg
myntra_top_pose_75,http://assets.myntassets.com/assets/images/1142346/2016/4/23/11461387372205-YK-Girls-Teal-Blue-Printed-Top-2981461387372135-3.jpg
myntra_top_pose_76,http://assets.myntassets.com/assets/images/1142346/2016/4/23/11461387372307-YK-Girls-Teal-Blue-Printed-Top-2981461387372135-2.jpg
